year,value,sigma,value_lower,value_upper
1900,-173.2614420917739,19.013513550997626,-203.5572666156032,-141.002807032821
1901,-168.8016752600693,19.79358662930814,-201.0185091482662,-135.8976091378424
1902,-180.3899669500429,19.410401282707383,-212.0740442184821,-148.2138239983748
1903,-170.2678322463643,19.38208074820337,-202.6975638693991,-138.93051820781
1904,-168.720070891968,19.062885306848965,-200.1670150568733,-137.4501223973402
1905,-160.981428722675,18.778056024935136,-192.131255104329,-130.3514507822924
1906,-175.6052663358786,18.673892957750212,-205.9264835519189,-144.4893757209207
1907,-169.2692225001891,18.502969750179695,-200.836081206149,-139.9613107280578
1908,-184.1125088214998,18.94808327135328,-214.9370657023597,-152.5978717396074
1909,-178.7259513715421,18.99331904147176,-208.9868797607944,-146.4988601143523
1910,-177.1214733098595,18.801072713916966,-207.3850680459983,-145.5295388172115
1911,-161.7185676170535,18.370140435839637,-191.8108158464515,-131.3730538125391
1912,-154.0655407515367,17.885820107069268,-182.9197736735487,-124.0754255212908
1913,-146.4479000406482,18.02066592435419,-176.3063066190751,-117.0183157279498
1914,-144.456942950489,17.670565858230216,-173.5110311600942,-115.3748694865168
1915,-140.9473325056971,17.578373778798454,-169.1589509345378,-111.3261012022909
1916,-167.2579571911617,17.34971511267158,-195.3119608719407,-138.2313981512512
1917,-157.3991469078581,17.275176453821246,-185.0263805688132,-128.1910500357413
1918,-153.3645385811447,16.961980693418358,-180.9585123596869,-125.1535958783405
1919,-146.923537327046,17.098070956402854,-175.2847929323825,-119.0321394858171
1920,-138.2963235172192,16.511243623876197,-164.7738701413812,-110.4518786188285
1921,-138.6246366369276,16.259764380988177,-165.4742561890987,-111.9796313756476
1922,-140.1698192160608,16.60602617042702,-167.301940289172,-112.6681141884671
1923,-154.9730606110615,17.128106274022006,-182.6383038055699,-126.2868341640375
1924,-149.7155083206249,15.634046407890791,-174.9770254573406,-123.5410127753799
1925,-154.3651649950441,16.06903303068736,-180.6090393597908,-127.7419206888294
1926,-155.0322034570616,15.088643360790979,-179.18750147137,-129.5458648143677
1927,-148.1600540253368,14.784803618679879,-172.1679451205212,-123.5259412150644
1928,-150.6374869588892,15.202964161415014,-175.2893874959469,-125.2716354048915
1929,-151.3293955587371,14.613469103478819,-175.7120653468616,-127.6337519964163
1930,-146.4309630489144,14.552699140336204,-170.0059864522833,-122.1276062805772
1931,-146.1100856442899,14.78160495974164,-170.2371985878757,-121.6057182703257
1932,-131.7929535152905,14.465842727118025,-155.3926790205441,-107.8000564483258
1933,-137.9301245777117,14.666687490758118,-162.1464607013826,-113.8930588567884
1934,-151.130100898396,14.124927899299903,-173.8665265156916,-127.3955137269949
1935,-138.7756249416666,14.17594835764705,-162.8529302326416,-116.2140601359828
1936,-144.5950595681909,13.919656776112703,-167.8972222016189,-122.1015514082081
1937,-135.3654868274544,13.597801110932034,-158.2683405683736,-113.5315749134072
1938,-125.8680591060046,13.401860001403005,-147.7586808208717,-103.6665614162558
1939,-121.6888057994959,13.017803947911938,-142.7823348072556,-99.95375981862533
1940,-132.3584222792475,12.880203445886902,-153.9127041559804,-111.5368348190125
1941,-117.0144938591239,12.755043782725995,-138.0897844162498,-96.12569037108129
1942,-116.8616269144595,12.274577699561211,-136.6612393610234,-96.27787872946702
1943,-110.3382158744973,12.29073970203479,-130.7931104637569,-90.35657684406245
1944,-118.8720805930465,11.888105737256778,-138.686267836867,-99.57439996129219
1945,-119.1719926697762,11.931868014323603,-138.5608375827207,-99.30499181559604
1946,-104.470507669165,11.691283883420823,-123.3203657704995,-84.856041794045
1947,-112.5419069146101,11.313625805147206,-131.3098919689953,-94.08806307006098
1948,-104.6074736993808,11.43843711457236,-123.5531467497976,-85.92068864285454
1949,-92.32075069436223,11.106127501170722,-110.6540979703903,-74.11493849153862
1950,-96.18672962248844,11.134736830864597,-114.806884993656,-78.17360082011147
1951,-85.61613876480703,11.383778152701439,-103.9940082766434,-66.54137815425567
1952,-85.5780907296087,11.063016988872734,-103.724169910245,-67.3268440168537
1953,-79.77114946573418,11.009998763223255,-97.88902623782683,-61.66613030682232
1954,-89.93808972216283,10.345670886934213,-107.0383881493378,-73.00113093132424
1955,-86.62636910432052,10.603805317681687,-104.5988711120146,-69.71235161684186
1956,-100.0402361241068,9.897169357823271,-116.3831184981367,-83.82143131089813
1957,-83.94307501465504,10.457082154327226,-101.2466927262745,-66.84289243853793
1958,-85.72778533470081,8.76992145142181,-100.4948087217303,-71.64176714655254
1959,-82.73126617857811,8.622344803769256,-97.00330105423573,-68.63578664983488
1960,-76.86832293381123,8.381909459665833,-90.8014192639052,-63.22493714160461
1961,-77.21473695765387,8.09078897761255,-90.28999310717619,-63.67129737083089
1962,-79.11187959099664,7.70504707528672,-91.65410056300286,-66.30449568530955
1963,-78.69134145050471,8.046800748241871,-91.87236007195709,-65.39838561024133
1964,-82.75201868745026,8.10509651187484,-95.9284453311342,-69.26267780706597
1965,-76.65542732070864,7.92268330551748,-89.7409856633363,-63.67535758818379
1966,-82.74987344881188,7.78539105907481,-95.52306036561953,-69.9091237812634
1967,-82.96694712050679,7.576747111891024,-95.26913413645771,-70.34163613833624
1968,-84.99568349619679,7.394144806846384,-97.08644403552863,-72.75970762100403
1969,-84.67996660566519,7.437744390747565,-96.82773706765488,-72.35755802209539
1970,-84.90437264368029,7.5043529224930445,-97.0336429715599,-72.34432185655778
1971,-72.76139657521631,7.5039830758540225,-84.74744954266642,-60.05934522310668
1972,-78.48801423305491,7.457837225778153,-90.35550911270025,-65.81922463989012
1973,-83.2453676890826,7.681112901140715,-96.02546545174879,-70.75460400699583
1974,-76.7789044153547,7.611316750547401,-89.27706635369445,-64.2358342443935
1975,-68.12081056521441,7.190917266092137,-79.81735199962723,-56.1592341941841
1976,-78.09582879283235,6.826416656947854,-89.15255434200998,-66.69364354065154
1977,-73.46108321102349,6.9955665460802905,-84.83941960232217,-61.82400566571801
1978,-78.13710430468868,6.7137641635075695,-88.81530114683207,-66.72701704889217
1979,-68.25420754989729,6.979137540149595,-79.92071204737175,-56.95934954027958
1980,-70.55580239660375,6.8432155104570835,-81.5141979396527,-59.0000189102489
1981,-53.37497207309044,6.71850124067882,-64.29263887298808,-42.18876979115476
1982,-61.6258329673576,6.608978712973292,-72.42105315413538,-50.67751318845325
1983,-58.23164474326009,6.659362463091528,-69.04719167057053,-47.1378891669994
1984,-58.55205395617908,6.539063692545259,-69.40580726315991,-47.89228771468601
1985,-64.17741297587905,6.124173541945432,-74.011201452724,-53.86267049972352
1986,-56.87626863897406,6.036976121529833,-66.79085446459149,-46.92920302475834
1987,-59.44401057259343,6.195765984291029,-69.60035600965695,-49.21628592133946
1988,-62.06679568761688,6.386389284500681,-72.69957060264001,-51.68834985663277
1989,-54.93921790843181,5.759319033618795,-64.49719994621496,-45.54904032560913
1990,-51.67674674234994,6.213946259223709,-61.66597835909698,-41.22209516625098
1991,-59.24024291347892,8.441135747045795,-72.96253167935248,-45.19119507157181
1992,-59.88174719809506,6.515074310807088,-70.50754819960679,-49.07295371705147
1993,-58.91027565498212,6.1085171438074415,-68.81975310932971,-48.72273170620323
1994,-56.07227474874074,8.007972366875256,-68.88728354763927,-42.54105446061968
1995,-45.17002052420098,9.28716513412686,-60.33863533465856,-29.78386204338119
1996,-49.75505328632379,5.356810899163983,-58.47327170264666,-40.84936384439716
1997,-36.20533468614618,6.7256494006645235,-47.38139614997051,-25.25400962178423
1998,-35.75892748848101,6.029583025761879,-45.74108386110152,-25.90375570634494
1999,-32.66100931521002,9.354891842212991,-48.29503821165662,-17.51744405077588
2000,-30.49194624991627,5.198888171259896,-39.16233660518382,-22.05799452173876
2001,-28.50669968014758,5.743164737435496,-38.03561606375259,-19.14060407758981
2002,-18.69649745998974,4.621838100846048,-26.06235698696559,-10.85650963518209
2003,-14.90810068734355,4.589432004267221,-22.65466647242249,-7.555435178383334
2004,-29.08900683525538,4.720636168458895,-36.8104137629803,-21.27952076875054
2005,-22.82930130866351,4.689456300131969,-30.62475993825321,-15.19644871081903
2006,-11.06644034665612,4.740648616062414,-18.84850281817613,-3.251768871330789
2007,-16.89562925293171,4.420123388612654,-23.90481853848376,-9.362612589948128
2008,-9.371227001490231,4.550464577709744,-17.19598714918671,-2.224958688521653
2009,-7.324730575127892,4.460524994628711,-14.81401971464663,-0.1388924823181696
2010,-2.866128357793531,5.185880786085906,-11.33282716564123,5.728720620581399
2011,-7.194661294395823,4.356111066616444,-14.19403312595497,0.1375722832131316
2012,12.19746486218349,4.903620684581216,4.00572797634679,20.13864002861899
2013,6.37017388457511,5.209232220777073,-2.19572195364762,14.94265205270895
2014,11.86893582837459,5.092748032936861,3.50292367429023,20.2580647026525
2015,17.86952067324538,5.281303332643281,9.216258557015124,26.59174652141152
2016,23.94186226674605,5.216546659913175,15.51055000475864,32.67298851587299
2017,32.35804784268696,6.188790935838406,22.31229180561046,42.67341398451882
2018,35.63571776183575,6.449908366068011,24.99356310268526,46.21376162704902
