"year","fair_temp_C","total_slr_cm","gsic_cm","te_cm","gis_cm","ais_cm"
1850,-0.0303231356795565,-6.71449325106553,-2.47622395696237,-4.19286892984144,-0.0454003642617273,0
1851,-0.0180128427254588,-6.71358943785019,-2.46828280227258,-4.20044971376133,-0.0448569218162831,0
1852,-0.00721999307551663,-6.70898432434583,-2.45969372108047,-4.20491502052309,-0.0443755827422621,0
1853,-0.00306727838288158,-6.70143343679108,-2.45085635094491,-4.20665978833856,-0.0439172975076119,0
1854,-0.00891540999464194,-6.69315616752759,-2.44237212377469,-4.2073576536418,-0.0434263901111009,0
1855,-0.01574137626116,-6.68670995360859,-2.43429965159375,-4.20951406252146,-0.0428962394933841,0
1856,-0.0148145923650156,-6.68191040243488,-2.42617274319187,-4.21336618092335,-0.0423714783196694,0
1857,-0.0142789221166068,-6.67683208984348,-2.41801492994767,-4.21696734275919,-0.0418498171366188,0
1858,-0.0170180158125002,-6.67175173882655,-2.41002300184658,-4.22041658122375,-0.0413121557562235,0
1859,-0.0126795689984001,-6.66710473300148,-2.40177167088247,-4.22453334691997,-0.0407997151990358,0
1860,-0.000501266888781365,-6.66069044158061,-2.39279014244572,-4.22754491708417,-0.0403553820507163,0
1861,0.0112805622994271,-6.65057261156699,-2.38310262154807,-4.22749685387016,-0.0399731361487632,0
1862,-0.00443454028286873,-6.6383713378175,-2.37436054019369,-4.22450357367516,-0.0395072239486538,0
1863,-0.0429655391919953,-6.63219531985247,-2.36793328368836,-4.2254540355267,-0.0388080006374025,0
1864,-0.0582935682546377,-6.63646435694794,-2.36242704409293,-4.23603249479628,-0.0380048180587345,0
1865,-0.0431383685624033,-6.6437061482482,-2.35601165953599,-4.25039006903516,-0.0373044196770422,0
1866,-0.0193892570171626,-6.64581141946357,-2.34817170969176,-4.26088705547979,-0.036752654292016,0
1867,0.000929103832640887,-6.64082401118915,-2.33911374716896,-4.26539427910589,-0.0363159849142924,0
1868,0.014652123217103,-6.62998424065261,-2.32923410961484,-4.26479937640141,-0.0359507546363602,0
1869,0.0231379347861634,-6.61525125803628,-2.31884740608128,-4.26077669336433,-0.0356271585906676,0
1870,0.0306295313972046,-6.59800494674486,-2.30801356988041,-4.25465267085018,-0.0353387060142651,0
1871,0.0369626127119848,-6.57856749688633,-2.29680234521129,-4.24668636929583,-0.0350787823792054,0
1872,0.0430156444256619,-6.55725251491279,-2.28523076983877,-4.23717662892057,-0.0348451161534591,0
1873,0.0427312177940099,-6.53449027250417,-2.27367885780945,-4.22620117931876,-0.0346102353759647,0
1874,0.0352147031905561,-6.51227413069282,-2.26257988158434,-4.21535171362287,-0.0343425354856208,0
1875,0.031065015988414,-6.49222356533692,-2.25173187921586,-4.20643562390632,-0.0340560622147379,0
1876,0.0319493750292712,-6.47320837996022,-2.24083321931637,-4.19860153643889,-0.033773624204958,0
1877,0.035327418324017,-6.45382657637673,-2.22973462975482,-4.19058552964859,-0.0335064169733279,0
1878,0.0401416675251574,-6.43337575045651,-2.21835027188965,-4.18176509206855,-0.0332603864983128,0
1879,0.0448157763848371,-6.41150823995824,-2.20668872657094,-4.17178519437612,-0.0330343190111826,0
1880,0.0474551630066311,-6.38837785934759,-2.19487192712056,-4.16068666895724,-0.0328192632697899,0
1881,0.0487270334456634,-6.36457501995193,-2.18298178467951,-4.14898378951,-0.0326094457624215,0
1882,0.0517498971816644,-6.340347000093,-2.17091363685018,-4.13702145685024,-0.0324119063925821,0
1883,0.0416630087096806,-6.31598708444771,-2.15945143830615,-4.12436321991978,-0.0321724262217771,0
1884,-0.0336322034868759,-6.29831634806207,-2.1524931386291,-4.11428999629197,-0.0315332131409995,0
1885,-0.135008272842462,-6.30480198254058,-2.15159671283111,-4.12309094183144,-0.030114327878028,0
1886,-0.16197753106155,-6.3379461149043,-2.15231291575157,-4.1571918999821,-0.028441299170634,0
1887,-0.125708258244166,-6.37583044912464,-2.15086041938056,-4.19786466789679,-0.0271053618472905,0
1888,-0.0789299595994219,-6.40202984523759,-2.14661122362019,-4.22926675376755,-0.026151867849844,0
1889,-0.0395562828948216,-6.41430059933184,-2.14000877697179,-4.24881725454778,-0.0254745678122781,0
1890,-0.0139102898029789,-6.41525575903935,-2.13187448398868,-4.25842658364795,-0.0249546914027121,0
1891,-0.00882447258406795,-6.40947788899316,-2.12343760185442,-4.26157636782966,-0.0244639193090812,0
1892,-0.0108559323336553,-6.40252402105552,-2.11512348101407,-4.26343894878574,-0.0239615912557056,0
1893,-0.00142254527372339,-6.39555925604593,-2.10624724554265,-4.26580008177443,-0.0235119287288477,0
1894,0.0170568077674245,-6.38521853897216,-2.09626898315279,-4.2657910623332,-0.023158493486175,0
1895,0.0342712579511493,-6.36931355464947,-2.08526488628471,-4.26116224972888,-0.0228864186358813,0
1896,0.0455749291796309,-6.34850484255795,-2.07358845086268,-4.25225296864166,-0.0226634230536149,0
1897,0.0517996610354887,-6.32457153275705,-2.06154323325927,-4.24056231615275,-0.0224659833450325,0
1898,0.0537947056985906,-6.29903228953796,-2.04938184341362,-4.22737393396232,-0.0222765121620228,0
1899,0.0538024245491694,-6.27306270485423,-2.03722290258011,-4.21375273251707,-0.0220870697570597,0
1900,0.0528718483017699,-6.24721399147198,-2.02512236291437,-4.2001977073664,-0.0218939211912073,0
1901,0.0520659641903645,-6.22171339566291,-2.01307275039371,-4.18694310140333,-0.0216975438658729,0
1902,0.048633141719111,-6.19667406899713,-2.00123060657328,-4.17395623949793,-0.02148722292592,0
1903,0.0181157621316593,-6.17424134093809,-1.991209831464,-4.16189251751987,-0.0211389919542171,0
1904,-0.0299593781627922,-6.16209667516727,-1.98405565093989,-4.15751845904856,-0.0205225651788155,0
1905,-0.0452781573984095,-6.16280783605877,-1.97781520650579,-4.16518505594323,-0.0198075736097536,0
1906,-0.025969166681564,-6.16628396530385,-1.97042520299619,-4.17664301466232,-0.0192157476453403,0
1907,-0.00118454836780667,-6.16354376230371,-1.96156003225574,-4.18321643590861,-0.0187672941393657,0
1908,0.0126766555633189,-6.15382361722121,-1.95187097918306,-4.18356083547022,-0.0183918025679297,0
1909,0.0231726830887784,-6.14006520420246,-1.94155887836901,-4.18043821205125,-0.0180681137821992,0
1910,0.0335481743852824,-6.12313120342152,-1.93063129314866,-4.174707194868,-0.0177927154048518,0
1911,0.0399824906149804,-6.10327992878653,-1.91932316317365,-4.16641095994655,-0.0175458056663302,0
1912,0.0300334064002305,-6.08241148028045,-1.90860948821929,-4.15654762714228,-0.0172543649188839,0
1913,-0.000957035596027885,-6.06576958414888,-1.89974158784633,-4.14922088205572,-0.0168071142468307,0
1914,-0.0255235069989106,-6.05823277562222,-1.8923364498117,-4.14967838119365,-0.0162179446168587,0
1915,-0.0212649953318715,-6.05660886837789,-1.8846791300784,-4.15627521068662,-0.0156545276128739,0
1916,0.00249699902326171,-6.05261036570974,-1.87561004212444,-4.16177442811536,-0.0152258954699391,0
1917,0.0279740874150476,-6.04125855256732,-1.86502802945972,-4.16130565086818,-0.0149248722394191,0
1918,0.0472872271371842,-6.02247928230742,-1.85330041181293,-4.15446994540928,-0.0147089250852162,0
1919,0.0606460039956031,-5.99816786409718,-1.84078178883828,-4.14284013354715,-0.0145459417117522,0
1920,0.0700207838432554,-5.97005543662726,-1.82770940598769,-4.12792877652972,-0.0144172541098442,0
1921,0.0738634140511025,-5.9394624349179,-1.81441221451686,-4.11074828133546,-0.0143019390655752,0
1922,0.0736058495623986,-5.9080125822539,-1.80113381187373,-4.09269303106522,-0.0141857393149536,0
1923,0.0700614351845186,-5.87691890772518,-1.7880692668478,-4.0747924481685,-0.0140571927088828,0
1924,0.0665541388892062,-5.84699978056143,-1.77521621388258,-4.05786747178073,-0.0139160948981143,0
1925,0.0689742305423685,-5.81791050269753,-1.76222286691736,-4.04190394434873,-0.0137836914314349,0
1926,0.07574903962712,-5.78792107604517,-1.74883107502504,-4.02541521164061,-0.0136747893795253,0
1927,0.0850635246528105,-5.75580198536669,-1.73489058576228,-4.00731522032483,-0.0135961792795847,0
1928,0.0933331960515445,-5.72098340060539,-1.72046378959599,-3.98697710770921,-0.0135425033001901,0
1929,0.093584540712937,-5.68418905079198,-1.70602622686469,-3.96467326780699,-0.0134895561203052,0
1930,0.0897298908213896,-5.64766449132952,-1.69182113858692,-3.94241811093892,-0.0134252418036773,0
1931,0.0930256755376563,-5.61203343784407,-1.67742487448909,-3.92123789232809,-0.013370671026891,0
1932,0.098161445992886,-5.57539899733536,-1.66272866873729,-3.89933962863124,-0.0133306999668292,0
1933,0.100330139919247,-5.53747198972073,-1.6479083956756,-3.87626691363907,-0.0132966804060608,0
1934,0.105659081442335,-5.49882131921048,-1.63277718393141,-3.85276738874027,-0.0132767465387928,0
1935,0.112653338827382,-5.45856408211982,-1.6172368176482,-3.82805312608519,-0.0132741383864321,0
1936,0.119788263904196,-5.41628108081316,-1.60127936496194,-3.80171387039713,-0.0132878454540908,0
1937,0.128219616395368,-5.37187024145088,-1.5848285987581,-3.7737225797183,-0.0133190629744817,0
1938,0.136162464541049,-5.32504230763112,-1.56791387718302,-3.74376340737007,-0.0133650230780269,0
1939,0.143676481551485,-5.27595269024673,-1.55056100738421,-3.71196831884717,-0.0134233640153525,0
1940,0.148875100456907,-5.22485024950672,-1.53290716838899,-3.67845370151427,-0.0134893796034596,0
1941,0.150824241195845,-5.17250957374635,-1.51514448662208,-3.64380700254168,-0.0135580845825878,0
1942,0.150954891577091,-5.11985360008034,-1.49738038242446,-3.60884625187922,-0.0136269657766697,0
1943,0.149809881389357,-5.06741203122372,-1.47969010591272,-3.57402764237475,-0.0136942829362496,0
1944,0.148394018804014,-5.01551855018349,-1.46208955437101,-3.53966937846475,-0.0137596173477306,0
1945,0.149039613746994,-4.96411986349124,-1.44445712998466,-3.50583687152063,-0.0138258619859499,0
1946,0.156090363104786,-4.9123289180478,-1.42641547010423,-3.47201212837548,-0.0139013195680882,0
1947,0.167004709058507,-4.85831968210754,-1.4077374652182,-3.43659382160662,-0.0139883952827269,0
1948,0.178914850115869,-4.80107371840463,-1.38836521421871,-3.39862401988316,-0.0140844843027566,0
1949,0.189419185444778,-4.74043415180703,-1.3683822715414,-3.35786653190399,-0.0141853483616394,0
1950,0.197631845995745,-4.67689881335369,-1.34792419278229,-3.31468674753248,-0.0142878730389207,0
1951,0.199847515919986,-4.61140443223685,-1.32734420212924,-3.26966969694509,-0.0143905331625227,0
1952,0.19840640324705,-4.54567432535242,-1.30685739331509,-3.22432381412958,-0.0144931179077545,0
1953,0.197591511165841,-4.480587440474,-1.28642686691683,-3.17956493889637,-0.0145956346607967,0
1954,0.197228051658618,-4.41595774474884,-1.26602604913805,-3.13523358105964,-0.0146981145511482,0
1955,0.197932274627941,-4.35160763590429,-1.24559223250559,-3.09121474488889,-0.0148006585098059,0
1956,0.200848573540963,-4.28713893550951,-1.22499565857706,-3.04723994715667,-0.0149033297757839,0
1957,0.206719902857322,-4.22182471928912,-1.20406320747656,-3.00275594868485,-0.0150055631277013,0
1958,0.215462798992338,-4.15475891338058,-1.18262695297059,-2.9570265378763,-0.01510542253369,0
1959,0.225941884559834,-4.08512558472429,-1.16058581325844,-2.90934005008805,-0.015199721377801,0
1960,0.233428186849561,-4.01267637153241,-1.13811591405889,-2.85927222334686,-0.0152882341266647,0
1961,0.237018490954076,-3.9384025518959,-1.11544595678435,-2.80758316016694,-0.0153734349446211,0
1962,0.231432435111968,-3.86382685304802,-1.09311325100865,-2.75525496627679,-0.0154586357625774,0
1963,0.195964783608054,-3.79299918311621,-1.07286542077784,-2.70458492731662,-0.0155488350217503,0
1964,0.134072111741476,-3.73493177367484,-1.05624546969239,-2.66303515142723,-0.0156511525552183,0
1965,0.0928975711974984,-3.6948982323649,-1.04203854987691,-2.63716629238393,-0.0156933901040546,0
1966,0.0995927250726883,-3.66480319760097,-1.02744433086648,-2.62172041277185,-0.0156384539626409,0
1967,0.132858710306563,-3.63119089913201,-1.0109104947087,-2.60467797408902,-0.0156024303342939,0
1968,0.163726647823012,-3.58762583919578,-0.992579129918387,-2.57940425129115,-0.0156424579862424,0
1969,0.191211837274357,-3.53491608021264,-0.97264979943989,-2.54653991272814,-0.0157263680446107,0
1970,0.217749355023583,-3.47397612273304,-0.951179793666048,-2.50696859849512,-0.0158277305718713,0
1971,0.236061338950001,-3.40553833507027,-0.928650956370746,-2.46096076139596,-0.0159266173035633,0
1972,0.245880026821294,-3.33217762134241,-0.905559930277817,-2.41060496750068,-0.0160127235639074,0
1973,0.257859827209621,-3.2559161206277,-0.881781587190955,-2.35804628060706,-0.0160882528296824,0
1974,0.27323752243092,-3.17602183375292,-0.857119039512247,-2.30275543705083,-0.0161473571898441,0
1975,0.277558897407003,-3.09229357891967,-0.83221724751421,-2.24389662390705,-0.0161797074984094,0
1976,0.276213002734004,-3.00786147878861,-0.807406326202292,-2.18425176108497,-0.016203391501346,0
1977,0.286582253363489,-2.92347630183136,-0.782004877861678,-2.12524159624526,-0.0162298277244233,0
1978,0.309403001649322,-2.83545811507207,-0.755290152522533,-2.06393416957236,-0.0162337929771716,0
1979,0.33685521775462,-2.74040151018237,-0.726995322013857,-1.99722809296138,-0.0161780952071311,0
1980,0.3633428832575,-2.63720368728626,-0.697179170551243,-1.92399249270712,-0.0160320240278899,0
1981,0.38477633400148,-2.52641837629014,-0.66613772279678,-1.84450115407842,-0.0157794994149363,0
1982,0.39602362773431,-2.40993975492554,-0.634463850059547,-1.76004890945687,-0.0154269954091291,0
1983,0.377644180701911,-2.29209939226239,-0.603875206893993,-1.67320710262521,-0.015017082743185,0
1984,0.351963941219118,-2.18088617774458,-0.574792552302961,-1.59139436658582,-0.0146992588557993,0
1985,0.354878071036642,-2.07646409508914,-0.545558503446216,-1.51641075409731,-0.0144948375456089,0
1986,0.380354728928958,-1.97022049286601,-0.514868514155272,-1.44107352721687,-0.0142784514938654,0
1987,0.411461041724915,-1.85609152567118,-0.482400049659635,-1.35974382199776,-0.0139476540137906,0
1988,0.443097432804263,-1.73262376398963,-0.44812613410958,-1.27104418710575,-0.0134534427743027,0
1989,0.476426550771547,-1.59959823203756,-0.41195299180505,-1.17487895261836,-0.0127662876141521,0
1990,0.512694344810184,-1.45642448551955,-0.373715528109502,-1.07086226481159,-0.0118466925984606,0
1991,0.528312998052917,-1.30441693370076,-0.335478064413954,-0.958298711934192,-0.0106401573526149,0
1992,0.475164120506177,-1.14806258588233,-0.296370086610139,-0.842393313510499,-0.00929918576169086,0
1993,0.394181536354707,-1.00909912971004,-0.260355321867748,-0.740354661465609,-0.00838914637668609,0
1994,0.378962800833571,-0.896090076793765,-0.229029034131305,-0.659071848718812,-0.00798919394364717,0
1995,0.42977229891656,-0.788263943558648,-0.198598438009623,-0.582000133916032,-0.00766537163299219,0
1996,0.497196350270454,-0.66494020051818,-0.165265716201488,-0.492611403166519,-0.00706308115017151,0
1997,0.555015849603519,-0.520879563746929,-0.128082137665251,-0.386813603232281,-0.00598382284939802,0
1998,0.597421422424259,-0.359095570036583,-0.0876076771892401,-0.267089917464446,-0.0043979753828971,0
1999,0.63056393713949,-0.18448139827246,-0.0447345687608191,-0.137363456920266,-0.00238337259137467,0
2000,0.664602612723535,0,0,0,0,0
2001,0.699323267905011,0.274621369415971,0.0466421722402956,0.145186308531677,0.00279288864399874,0.08
2002,0.728637271529602,0.559587890802786,0.0952254231187844,0.298326849316063,0.00603561836793887,0.16
2003,0.750613561695227,0.853148427797444,0.14543490856851,0.458030188302676,0.00968333092625784,0.24
2004,0.76415277537822,1.15292539980662,0.196846615591299,0.622429083135763,0.0136497010795544,0.32
2005,0.772849341299447,1.45618494646077,0.248975482183727,0.789390786915432,0.017818677361614,0.4
2006,0.778630357011406,1.7613552456657,0.301543206224785,0.957691823656509,0.0221202157844047,0.48
2007,0.784688420384294,2.06748975808159,0.354382318612003,1.12659660914187,0.0265108303277195,0.56
2008,0.793374470104869,2.37467467729682,0.407507529982511,1.29617138654303,0.0309957607712796,0.64
2009,0.805725678868161,2.68375458454427,0.461066948942051,1.46706980248732,0.0356178331148982,0.72
2010,0.821554118159144,2.99590695129698,0.515266828376829,1.64020152854272,0.0404385943774344,0.8
2011,0.839000497120694,3.31224661826608,0.570301818451931,1.81642470579058,0.0455200940235656,0.88
2012,0.859910204188637,3.63328560091856,0.626260430864126,1.9961283618926,0.0508968081618377,0.96
2013,0.883770057679499,3.96013411867298,0.683334991627216,2.18016092648109,0.0566382005646737,1.04
2014,0.908877800524487,4.29373628064999,0.741687861367058,2.36923829161935,0.0628101276635817,1.12
2015,0.932195525923241,4.63448335033921,0.801384529712265,2.56364720564317,0.0694516149837732,1.2
2016,0.953620985471735,4.98177671872945,0.862318971561458,2.76291350644656,0.0765442407214323,1.28
2017,0.97250304028995,5.33498379533048,0.924379817773374,2.96653984063305,0.0840641369240558,1.36
2018,0.990199028777642,5.69325877437706,0.987419594156328,3.17386855685316,0.0919706233675655,1.44
2019,1.00852550787698,6.05620024158561,1.05136763764916,3.3845846266141,0.100247977322354,1.52
2020,1.02793497762035,6.42400231474583,1.11625532850561,3.59882873580107,0.108918250439149,1.6
2021,1.04860521480542,6.79700759376885,1.182139106176,3.81685399187794,0.118014495714913,1.68
2022,1.07126747093581,7.1756171320896,1.24908494012068,4.0389566809707,0.127575510998224,1.76
2023,1.09607977639572,7.5604728538473,1.31719911492885,4.26561442065059,0.137659318267858,1.84
2024,1.12147083575954,7.95226931657531,1.38659599245225,4.49734194799706,0.148331376125999,1.92
2025,1.14611154889245,8.35118280024654,1.45730175114269,4.73425860254776,0.159622446556096,2
2026,1.16847000196112,8.75694993204081,1.52926846635756,4.97615085210892,0.171530613574333,2.08
2027,1.18816007757078,9.16879920644469,1.60236343108695,5.22242325368945,0.184012521668286,2.16
2028,1.20588217278965,9.5858305100396,1.67643326091563,5.47238681216449,0.197010436959477,2.24
2029,1.223247561396,10.007376558612,1.75136414116003,5.72553107665187,0.210481340800062,2.32
2030,1.2406517493089,10.4333064887541,1.82713180097392,5.98175096696841,0.224423720811728,2.4
2031,1.25833502117353,10.863621269564,1.90373383463698,6.24104080481158,0.238846630115486,2.48
2032,1.2765465006106,11.2984020087353,1.98118098817047,6.5034550114317,0.253766009133116,2.56
2033,1.29578166563151,11.7378129501023,2.05949753303341,6.76911001687799,0.269205400190931,2.64
2034,1.31723669575519,12.1821838952961,2.13873464823649,7.03824553855227,0.285203708507353,2.72
2035,1.34193725138172,12.6322449864721,2.21900851557162,7.3113991401491,0.301837330751376,2.8
2036,1.36749795668705,13.0890704903207,2.3004904191613,7.58936211264457,0.319217958514795,2.88
2037,1.39296572347341,13.5529344488555,2.3832202546535,7.87232544660391,0.337388747598055,2.96
2038,1.41664453925649,14.023790537322,2.46718561024099,8.16024090559003,0.356364021491018,3.04
2039,1.43878149731855,14.5010207531054,2.5522818817207,8.452636491227,0.376102380157661,3.12
2040,1.4590464735142,14.9840900704843,2.63841848941346,8.7491043384513,0.396567242619561,3.2
2041,1.47730758132712,15.4723517374625,2.72548754101471,9.04915609048838,0.417708105959402,3.28
2042,1.49444386856877,15.9651144845606,2.81337473106846,9.35227286071851,0.439466892773677,3.36
2043,1.51187918864859,16.4619852143571,2.90201392415401,9.6581581189079,0.461813171295233,3.44
2044,1.53059880496276,16.9630539424699,2.99141601498005,9.9668727808263,0.484765146663513,3.52
2045,1.55109450870977,17.46874505682,3.08164462614171,10.2787237735137,0.508376657164611,3.6
2046,1.57452771800261,17.9796498753071,3.17278913007666,10.5941394371743,0.53272130805615,3.68
2047,1.60017055527677,18.496754985283,3.26500017097559,10.9138363248399,0.557918489467468,3.76
2048,1.62701508743404,19.0207993154348,3.35838818697914,11.2383454373857,0.584065691070013,3.84
2049,1.65318981796748,19.5521782647143,3.45300886914896,11.5679431374081,0.611226258157238,3.92
2050,1.67641853490928,20.0906473284885,3.54881782192503,11.9024365315637,0.639392974999797,4
2051,1.69583987010908,20.6351816484329,3.64565017239816,12.241064637984,0.66846683805073,4.08
2052,1.71300766255505,21.1844604338175,3.74329676008909,12.5828549376721,0.698308736056319,4.16
2053,1.7293569403486,21.7376971842188,3.8416321650121,12.9272282339733,0.728836785233344,4.24
2054,1.7455729162483,22.2945994971457,3.94060756599522,13.2739669832414,0.760024947909077,4.32
2055,1.76275467351991,22.8551110938124,4.04021050312492,13.623026032738,0.791874557949424,4.4
2056,1.78213581678977,23.4195542818044,4.14048616916525,13.9746352263051,0.824432886334048,4.48
2057,1.80393632703888,23.9886763480879,4.24154378007634,14.3293316597218,0.857800908289708,4.56
2058,1.82602561960298,24.563300109798,4.34350291962684,14.6877047385337,0.892092451637438,4.64
2059,1.84737856784197,25.1435117329284,4.44637101533578,15.0498082750926,0.927332442500006,4.72
2060,1.86813258773785,25.7290425252863,4.55010205113214,15.4154395310284,0.963500943125695,4.8
2061,1.88699691252538,26.3196714813823,4.65465743911131,15.7844311356586,1.00058290661247,4.88
2062,1.90385107191637,26.9147298010744,4.7599321308022,16.1562938634624,1.03850380680983,4.96
2063,1.91963401391088,27.5135073719118,4.86581578261608,16.530510817475,1.07718077182071,5.04
2064,1.93545746592616,28.1156213247706,4.97224733210413,16.9068024222161,1.11657157045038,5.12
2065,1.95191372543712,28.7210760962752,5.07922327000217,17.2851684319374,1.15668439433563,5.2
2066,1.96942233165709,29.3300823439911,5.18677034818831,17.6657566764877,1.19755531931505,5.28
2067,1.98923398525758,29.9429966579731,5.29493637546469,18.0488191313704,1.23924115113807,5.36
2068,2.01128808822432,30.5606115947188,5.4038322464051,18.4349191873787,1.28186016093501,5.44
2069,2.03407270169728,31.183698069393,5.51356452650383,18.8246022688487,1.32553127404051,5.52
2070,2.05560425165966,31.8124979679547,5.62416197734769,19.2180330882796,1.37030290232749,5.6
2071,2.07479462553853,32.4465583527088,5.73555273378156,19.6148796411039,1.41612597782332,5.68
2072,2.09153993071554,33.0850448541911,5.84761074813313,20.0145395546338,1.46289455142421,5.76
2073,2.10705241918254,33.7270873285227,5.96020598704292,20.4163874948903,1.51049384658952,5.84
2074,2.12236804601455,34.3722426053359,6.07327045453674,20.8201043175623,1.55886783323691,5.92
2075,2.1374744266894,35.020432385493,6.18678856544389,21.2256314628289,1.60801235722019,6
2076,2.15263233146595,35.671574154432,6.30074420942042,21.6329075675379,1.65792237747375,6.08
2077,2.16799233051547,36.3256773457835,6.4151343310049,22.0419367679175,1.70860624686116,6.16
2078,2.1840884984554,36.9828044254161,6.52996328957816,22.4527608220575,1.76008031378041,6.24
2079,2.20173198752288,37.6432060522459,6.64526169772311,22.8655547979119,1.81238955661085,6.32
2080,2.22094286383784,38.3074187415852,6.76109969076818,23.2806956761539,1.86562337466318,6.4
2081,2.2408875598542,38.975985445542,6.8775474920582,23.6985635690833,1.91987438440044,6.48
2082,2.26016650965596,39.6491538473391,6.99463358328764,24.1193282965523,1.97519196749916,6.56
2083,2.27815813983276,40.3266759663716,7.11231765485002,24.5428089378343,2.03154937368728,6.64
2084,2.29429137446653,41.0080837980087,7.23052948845215,24.9686700834541,2.08888422610247,6.72
2085,2.30908325795626,41.692707384237,7.34917186624552,25.3964352320043,2.14710028598724,6.8
2086,2.32235098635304,42.3800613486183,7.46817365480183,25.8257595256841,2.20612816813244,6.88
2087,2.33458016225817,43.0695963531369,7.58745567284881,26.2562541299947,2.26588655029332,6.96
2088,2.34705154932166,43.7609368297593,7.70696298304928,26.6876535552601,2.32632029144995,7.04
2089,2.36029014729637,44.4541633611458,7.82670267102367,27.120013830165,2.38744685995718,7.12
2090,2.37500816949465,45.1495430316357,7.9467067745126,27.5535219531891,2.449314303934,7.2
2091,2.39189524316373,45.8475957554503,8.06704081584742,27.9885420411476,2.51201289845531,7.28
2092,2.40972339475648,46.5490860328871,8.18780219647592,28.4256087970836,2.57567503932759,7.36
2093,2.42784503196011,47.2543394538016,8.30902885847047,28.864947257138,2.64036333819311,7.44
2094,2.44404258854961,47.9634501244614,8.43072759176795,29.3066194341932,2.70610309850028,7.52
2095,2.45673368618187,48.675720116604,8.5528006349434,29.7501326395104,2.77278684215014,7.6
2096,2.46670401571575,49.3898873190658,8.67507714683548,30.1946010532091,2.84020911902125,7.68
2097,2.47485906844928,50.1049735322189,8.79742513954711,30.6393397072228,2.90820868544897,7.76
2098,2.48252935659204,50.8203272270904,8.91975647728138,31.0838934311498,2.97667731865925,7.84
2099,2.49040840080018,51.5357747611795,9.04204593750795,31.5281419584929,3.04558686517868,7.92
2100,2.49936810539907,52.2513910623054,9.16430070873889,31.9721390042512,3.1149513493153,8
