year,mean,p5,p50,p95
1850,0.0,0.0,0.0,0.0
1851,0.0,0.0,0.0,0.0
1852,0.0,0.0,0.0,0.0
1853,0.0,0.0,0.0,0.0
1854,0.0,0.0,0.0,0.0
1855,0.0,0.0,0.0,0.0
1856,0.0,0.0,0.0,0.0
1857,0.0,0.0,0.0,0.0
1858,0.0,0.0,0.0,0.0
1859,0.0,0.0,0.0,0.0
1860,0.0,0.0,0.0,0.0
1861,0.0,0.0,0.0,0.0
1862,0.0,0.0,0.0,0.0
1863,0.0,0.0,0.0,0.0
1864,0.0,0.0,0.0,0.0
1865,0.0,0.0,0.0,0.0
1866,0.0,0.0,0.0,0.0
1867,0.0,0.0,0.0,0.0
1868,0.0,0.0,0.0,0.0
1869,0.0,0.0,0.0,0.0
1870,0.0,0.0,0.0,0.0
1871,0.0,0.0,0.0,0.0
1872,0.0,0.0,0.0,0.0
1873,0.0,0.0,0.0,0.0
1874,0.0,0.0,0.0,0.0
1875,0.0,0.0,0.0,0.0
1876,0.0,0.0,0.0,0.0
1877,0.0,0.0,0.0,0.0
1878,0.0,0.0,0.0,0.0
1879,0.0,0.0,0.0,0.0
1880,0.0,0.0,0.0,0.0
1881,0.0,0.0,0.0,0.0
1882,0.0,0.0,0.0,0.0
1883,0.0,0.0,0.0,0.0
1884,0.0,0.0,0.0,0.0
1885,0.0,0.0,0.0,0.0
1886,0.0,0.0,0.0,0.0
1887,0.0,0.0,0.0,0.0
1888,0.0,0.0,0.0,0.0
1889,0.0,0.0,0.0,0.0
1890,0.0,0.0,0.0,0.0
1891,0.0,0.0,0.0,0.0
1892,0.0,0.0,0.0,0.0
1893,0.0,0.0,0.0,0.0
1894,0.0,0.0,0.0,0.0
1895,0.0,0.0,0.0,0.0
1896,0.0,0.0,0.0,0.0
1897,0.0,0.0,0.0,0.0
1898,0.0,0.0,0.0,0.0
1899,0.0,0.0,0.0,0.0
1900,0.0,0.0,0.0,0.0
1901,0.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,0.0
1903,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,0.0
1905,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0
1907,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,0.0
1909,0.0,0.0,0.0,0.0
1910,0.0,0.0,0.0,0.0
1911,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,0.0
1913,0.0,0.0,0.0,0.0
1914,0.0,0.0,0.0,0.0
1915,0.0,0.0,0.0,0.0
1916,0.0,0.0,0.0,0.0
1917,0.0,0.0,0.0,0.0
1918,0.0,0.0,0.0,0.0
1919,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.0,0.0
1921,0.0,0.0,0.0,0.0
1922,0.0,0.0,0.0,0.0
1923,0.0,0.0,0.0,0.0
1924,0.0,0.0,0.0,0.0
1925,0.0,0.0,0.0,0.0
1926,0.0,0.0,0.0,0.0
1927,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.0,0.0
1929,0.0,0.0,0.0,0.0
1930,0.0,0.0,0.0,0.0
1931,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.0
1933,0.0,0.0,0.0,0.0
1934,0.0,0.0,0.0,0.0
1935,0.0,0.0,0.0,0.0
1936,0.0,0.0,0.0,0.0
1937,0.0,0.0,0.0,0.0
1938,0.0,0.0,0.0,0.0
1939,0.0,0.0,0.0,0.0
1940,0.0,0.0,0.0,0.0
1941,0.0,0.0,0.0,0.0
1942,0.0,0.0,0.0,0.0
1943,0.0,0.0,0.0,0.0
1944,0.0,0.0,0.0,0.0
1945,0.0,0.0,0.0,0.0
1946,0.0,0.0,0.0,0.0
1947,0.0,0.0,0.0,0.0
1948,0.0,0.0,0.0,0.0
1949,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0
2031,0.0002067659399525499,0.00010728836059570312,0.00020265579223632812,0.000286102294921875
2032,0.00031077495046665383,0.00022649765014648438,0.00030994415283203125,0.0003933906555175781
2033,0.0003576529496579307,0.000286102294921875,0.00035762786865234375,0.00045299530029296875
2034,0.0003825206114215503,0.0002980232238769531,0.0003814697265625,0.000476837158203125
2035,0.00039794516596421776,0.00030994415283203125,0.0003933906555175781,0.0004887580871582031
2036,0.0004080856969972492,0.00030994415283203125,0.00040531158447265625,0.0005006790161132812
2037,0.0004157869471078684,0.0003218650817871094,0.0004172325134277344,0.0005125999450683594
2038,0.0004210312564791143,0.0003218650817871094,0.0004172325134277344,0.0005125999450683594
2039,0.00042496002894674935,0.0003218650817871094,0.0004172325134277344,0.0005245208740234375
2040,0.00042790681072014594,0.0003337860107421875,0.0004291534423828125,0.0005245208740234375
2041,0.0004297759938568436,0.0003337860107421875,0.0004291534423828125,0.0005245208740234375
2042,0.0004309565724147205,0.0003337860107421875,0.0004291534423828125,0.0005483627319335938
2043,0.00043142091617939105,0.0003337860107421875,0.0004291534423828125,0.0005483627319335938
2044,0.0004310625162656701,0.0003337860107421875,0.0004291534423828125,0.0005483627319335938
2045,0.000431154911541345,0.0003337860107421875,0.0004291534423828125,0.0005483627319335938
2046,0.0004305611794235553,0.0003337860107421875,0.0004291534423828125,0.0005483627319335938
2047,0.00042964977651419414,0.0003218650817871094,0.0004291534423828125,0.0005483627319335938
2048,0.0004285402717451311,0.0003218650817871094,0.0004291534423828125,0.0005483627319335938
2049,0.0004275038584858827,0.0003218650817871094,0.0004172325134277344,0.0005483627319335938
2050,0.000425994071287637,0.0003218650817871094,0.0004172325134277344,0.0005483627319335938
2051,0.0004248394258449913,0.0003218650817871094,0.0004172325134277344,0.0005483627319335938
2052,0.0004236572620992833,0.0003218650817871094,0.0004172325134277344,0.0005483627319335938
2053,0.0004218974668929144,0.00030994415283203125,0.00040531158447265625,0.0005483627319335938
2054,0.0004204414640733981,0.00030994415283203125,0.00040531158447265625,0.0005483627319335938
2055,0.0004193402534032879,0.00030994415283203125,0.00040531158447265625,0.0005483627319335938
2056,0.00041760657983923625,0.00030994415283203125,0.00040531158447265625,0.0005483627319335938
2057,0.000416627807580835,0.00030994415283203125,0.00040531158447265625,0.0005483627319335938
2058,0.0004151363810870958,0.00030994415283203125,0.00040531158447265625,0.0005483627319335938
2059,0.00041402936331031,0.00030994415283203125,0.00040531158447265625,0.0005483627319335938
2060,0.000412552202585316,0.0002980232238769531,0.00040531158447265625,0.0005483627319335938
2061,0.0004111676626330154,0.0002980232238769531,0.00040531158447265625,0.0005483627319335938
2062,0.00041007109814425685,0.0002980232238769531,0.00040531158447265625,0.0005483627319335938
2063,0.00040913840102312906,0.000286102294921875,0.00040531158447265625,0.0005483627319335938
2064,0.00040811404509893663,0.000286102294921875,0.00040531158447265625,0.0005483627319335938
2065,0.00040706099954792733,0.000286102294921875,0.00040531158447265625,0.0005483627319335938
2066,0.0004057147575037142,0.000286102294921875,0.00040531158447265625,0.0005483627319335938
2067,0.00040457174185009324,0.000286102294921875,0.00040531158447265625,0.0005483627319335938
2068,0.00040372736341026964,0.000286102294921875,0.00040531158447265625,0.0005483627319335938
2069,0.00040285547904067137,0.000286102294921875,0.00040531158447265625,0.0005483627319335938
2070,0.00040194793907875084,0.000286102294921875,0.0003933906555175781,0.0005483627319335938
2071,0.0004014353535462373,0.000286102294921875,0.0003814697265625,0.0005483627319335938
2072,0.0004002442668935096,0.000286102294921875,0.0003814697265625,0.0005483627319335938
2073,0.00039997394130826514,0.000286102294921875,0.0003814697265625,0.0005483627319335938
2074,0.0003990531279486482,0.000286102294921875,0.0003814697265625,0.0005483627319335938
2075,0.00039848797938191345,0.000286102294921875,0.0003814697265625,0.0005483627319335938
2076,0.0003976104317722386,0.0002741813659667969,0.0003814697265625,0.0005483627319335938
2077,0.0003966852631237136,0.0002741813659667969,0.0003814697265625,0.0005483627319335938
2078,0.00039663997957395234,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2079,0.00039591864839540213,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2080,0.00039549584355877225,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2081,0.000394829670773839,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2082,0.0003942717306220097,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2083,0.00039399171326007167,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2084,0.00039328172314241573,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2085,0.0003929658391524482,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2086,0.0003925343715286886,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2087,0.00039212335282384693,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2088,0.0003918379154678165,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2089,0.00039151904124693057,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2090,0.00039088984516534836,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2091,0.00039101119332989666,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2092,0.00039061140326551334,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2093,0.0003901313162284341,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2094,0.0003902110518473061,0.00026226043701171875,0.0003814697265625,0.00057220458984375
2095,0.0003898482571789108,0.00026226043701171875,0.0003814697265625,0.0005483627319335938
2096,0.00038976787943813826,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2097,0.00038920615670220776,0.0002503395080566406,0.0003814697265625,0.00057220458984375
2098,0.0003892268397291997,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2099,0.0003888416189473802,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2100,0.0003885034369016343,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2101,0.00038834205758207666,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2102,0.00038818743389388937,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2103,0.00038818568996375246,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2104,0.0003878265315177163,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2105,0.00038792651172434457,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2106,0.0003876863201352427,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2107,0.00038755933010722275,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2108,0.0003874857295354632,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2109,0.00038741272685901087,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2110,0.0003875270825376064,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2111,0.0003876432891541246,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2112,0.00038719347507323333,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2113,0.00038696734176205875,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2114,0.00038680037765161985,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2115,0.00038708925177730253,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2116,0.000387224501190789,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2117,0.000386969757170005,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2118,0.0003870576534182234,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2119,0.00038696550146451885,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2120,0.00038713488565388207,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2121,0.0003871571145080071,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2122,0.00038681038482958955,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2123,0.0003863834927465014,0.00022649765014648438,0.0003814697265625,0.00057220458984375
2124,0.0003864457743641003,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2125,0.000386720363391118,0.00022649765014648438,0.0003814697265625,0.00057220458984375
2126,0.00038654374748727736,0.0002384185791015625,0.0003814697265625,0.00057220458984375
2127,0.0003866518995746809,0.00022649765014648438,0.0003814697265625,0.00057220458984375
2128,0.00038680533846902326,0.00022649765014648438,0.0003814697265625,0.00057220458984375
2129,0.00038666410769105106,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2130,0.00038688797031232537,0.00022649765014648438,0.0003814697265625,0.00057220458984375
2131,0.0003869371219465665,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2132,0.000386987231259274,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2133,0.00038684213341256944,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2134,0.0003869442684005951,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2135,0.0003872030731649377,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2136,0.0003870662619002079,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2137,0.00038737335335549807,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2138,0.00038715013537111737,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2139,0.00038758616559175573,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2140,0.00038721325509899203,0.00021457672119140625,0.0003814697265625,0.00057220458984375
2141,0.0003870870505477832,0.00021457672119140625,0.0003814697265625,0.00057220458984375
